element,id,geometry,addr:city,addr:postcode,addr:state,addr:street,building,height,type,ele,gnis:feature_id,name,name:en,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,natural,old_name,old_name:etymology,old_name:etymology:wikidata,old_name:etymology:wikipedia,tourism,water,website,wikidata,wikimedia_commons,addr:housenumber,building:levels,roof:levels,addr:country,air_conditioning,brand,email,fax,internet_access,phone,rooms,smoking,landuse,nhd:reach_code,source,addr:housename,addr:county,attribution,description,changing_table,fee,opening_hours,wikipedia,highway,surface,level,lit,place,wheelchair,layer,source:addr:housenumber,boundary,leisure,amenity,emergency,healthcare,healthcare:for,operator,operator:short,operator:wikidata,operator:wikipedia,short_name,mobile,name:zh,dog,alt_name,brand:wikidata,internet_access:fee,name:ko,sport,denomination,religion,area,operator:type,protect_class,building:part,abandoned,check_date,disused:amenity,note,shop,contact:facebook,contact:instagram,contact:youtube,payment:cash,payment:credit_cards,payment:debit_cards,start_date,architect,community,community:gender,community:wikidata,access,building:material,official_name,name:he,building:colour,roof:colour,parking,colour,man_made,operator:email,operator:phone,tower:type,demolished:building,artist_name,artwork_type,material,contact:website,name:pt,service_times,operator:short_name,operator:website,owner,owner:short_name,owner:type,owner:wikidata,ownership,protected,protected_area,protection_title,landcover,nudism,communication:amateur_radio:pota,defensive_works,heritage,historic,attraction,name:es,zoo,min_height,disused,military,camping,clothing-optional,fire,glass,thong,topless,lanes,note:access,bridge,bar,internet_access:ssid,payment:american_express,payment:visa,reservation,url,name:kn,roof:shape,baseball,garden:type,bicycle,diocese,disused:landuse,source:operator,grades,fixme,crane:type,name:cmn,name:cmn-Hans,name:cmn-Hans-CN,name:cmn-Hans-SG,name:cmn-Hant,name:cs,name:de,name:oc,name:vi,name:yue,name:zh-Hans,name:zh-Hans-CN,name:zh-Hans-SG,name:zh-Hant,name:zh-Hant-HK,name:zh-Hant-TW,seamark:light:period,seamark:light:range,seamark:name,generator:source,power,building:min_level,seamark:type,golf,foot,salt,tidal,wetland,building:flats,drinking_water,office,leaf_type,floating,location,ref,noname,substation,voltage,disused:power,disused:highway,playground:theme,toilets,area:highway,crossing,crossing:markings,crossing:signals,footway,seamark:harbour:category,capacity,park_ride,surface:colour,was:building,was:amenity,leaf_cycle,artist:wikidata,artist:wikipedia,building:use,indoor,fountain,heritage:operator,heritage:website,museum,nrhp:criteria,nrhp:inscription_date,old_name:1940-1996,ref:nrhp,source_ref,hazard,addr:district,contact:fax,contact:phone,pipeline,substance,max_age,min_age,roof:material
relation,3683979,"POLYGON ((-122.5025571 37.7632397, -122.502553 37.763171, -122.5025582 37.7631708, -122.502702 37.7631653, -122.5027026 37.7631761, -122.5027301 37.7631751, -122.5027294 37.7631643, -122.5027379 37.763164, -122.5027418 37.7632279, -122.5027351 37.7632282, -122.5027354 37.763233, -122.5027077 37.763234, -122.5025571 37.7632397), (-122.5026859 37.7631834, -122.5026636 37.7631842, -122.5026452 37.7631903, -122.5026464 37.7632102, -122.5026874 37.7632087, -122.5026859 37.7631834))",,,,43rd Avenue,house,,multipolygon,,,,,,,,,,,,,,,,,,1258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3683980,"POLYGON ((-122.5025615 37.76328, -122.5025037 37.7632822, -122.5025025 37.7632629, -122.5024914 37.7632633, -122.5024901 37.7632423, -122.5025571 37.7632397, -122.5027077 37.763234, -122.5027084 37.7632458, -122.5027422 37.7632445, -122.5027457 37.763302, -122.5027133 37.7633032, -122.5025632 37.7633089, -122.5025615 37.76328), (-122.5026908 37.7632512, -122.5026695 37.763252, -122.5026498 37.7632597, -122.5026509 37.7632778, -122.5026923 37.7632763, -122.5026908 37.7632512))",,,,43rd Avenue,house,,multipolygon,,,,,,,,,,,,,,,,,,1254,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3683981,"POLYGON ((-122.5025674 37.7633772, -122.5025632 37.7633089, -122.5027133 37.7633032, -122.502714 37.7633144, -122.5027471 37.7633131, -122.5027506 37.7633702, -122.5026411 37.7633744, -122.5025674 37.7633772), (-122.5026966 37.7633197, -122.5026726 37.7633206, -122.5026544 37.7633279, -122.5026556 37.7633478, -122.5026981 37.7633462, -122.5026966 37.7633197))",,,,43rd Avenue,house,,multipolygon,,,,,,,,,,,,,,,,,,1250,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684105,"POLYGON ((-122.5014927 37.7641184, -122.5014897 37.7640758, -122.5015886 37.7640714, -122.5015889 37.7640761, -122.5016002 37.7642367, -122.5015013 37.7642411, -122.5014992 37.7642113, -122.5014927 37.7641184), (-122.5015657 37.764141, -122.5015293 37.7641426, -122.5015309 37.7641665, -122.5015674 37.7641649, -122.5015657 37.764141))",,,,Lincoln Way,yes,,multipolygon,,,,,,,,,,,,,,,,,,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684106,"POLYGON ((-122.5010774 37.7627964, -122.5010797 37.7628301, -122.5010689 37.762837, -122.5010698 37.7628509, -122.5010809 37.7628578, -122.5010821 37.7628748, -122.5011713 37.762871, -122.501173 37.7628962, -122.5010879 37.7628999, -122.5009731 37.7629048, -122.5009546 37.7629056, -122.5008644 37.7629094, -122.5008627 37.7628842, -122.5008531 37.7628763, -122.5008514 37.7628507, -122.5008598 37.7628431, -122.5008581 37.7628181, -122.5008452 37.7628111, -122.5008434 37.7627847, -122.5008552 37.7627766, -122.5008536 37.7627546, -122.5008432 37.7627474, -122.5008413 37.7627199, -122.5008507 37.7627131, -122.5008476 37.7626675, -122.5008368 37.7626626, -122.5008349 37.7626354, -122.5008485 37.7626241, -122.5008802 37.7626227, -122.5008871 37.7626298, -122.5009243 37.7626283, -122.5009333 37.7626201, -122.5009693 37.7626186, -122.5009754 37.762626, -122.5010144 37.7626243, -122.5010225 37.7626166, -122.5010541 37.7626152, -122.5010643 37.7626257, -122.5010661 37.7626525, -122.5010557 37.7626588, -122.5010597 37.7627171, -122.5010717 37.7627233, -122.5010723 37.762732, -122.5010902 37.7627312, -122.5010946 37.7627956, -122.5010774 37.7627964), (-122.5010195 37.7628375, -122.5010172 37.7628048, -122.501007 37.7628053, -122.5010093 37.7628379, -122.5010195 37.7628375), (-122.500948 37.7628261, -122.5009476 37.7628186, -122.5009166 37.7628197, -122.500917 37.7628272, -122.500948 37.7628261))",San Francisco,94122,CA,Irving Street,yes,,multipolygon,,,,,,,,,,,,,,,,,,4000,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684348,"POLYGON ((-122.5003103 37.7614715, -122.5003063 37.7614122, -122.5004593 37.7614058, -122.5004973 37.7614042, -122.5005013 37.7614635, -122.5003311 37.7614706, -122.5003103 37.7614715), (-122.5004469 37.7614172, -122.5004029 37.7614191, -122.5004044 37.7614394, -122.5004484 37.7614375, -122.5004469 37.7614172))",,,,41st Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684349,"POLYGON ((-122.5003012 37.7613352, -122.5004476 37.7613291, -122.5004539 37.7613288, -122.5004544 37.7613359, -122.5004829 37.7613347, -122.5004938 37.7613451, -122.5004942 37.7613505, -122.500501 37.7613502, -122.5005033 37.7613834, -122.5004965 37.7613837, -122.5004968 37.7613878, -122.5004855 37.7613975, -122.5004588 37.7613986, -122.5004593 37.7614058, -122.5003063 37.7614122, -122.5003012 37.7613352), (-122.5004409 37.7613461, -122.500418 37.7613471, -122.5003986 37.7613517, -122.5003998 37.761369, -122.5004423 37.7613672, -122.5004409 37.7613461))",,,,41st Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684350,"POLYGON ((-122.5002769 37.7609242, -122.5002759 37.7609091, -122.5002278 37.7609111, -122.500225 37.7608702, -122.5002731 37.7608682, -122.5002723 37.7608551, -122.5002775 37.7608549, -122.5003151 37.7608533, -122.500438 37.7608481, -122.5004385 37.7608554, -122.5004711 37.760854, -122.5004718 37.7608645, -122.5004806 37.7608641, -122.5004835 37.7609077, -122.5004748 37.7609081, -122.5004753 37.7609159, -122.5004644 37.7609164, -122.5002941 37.7609235, -122.5002769 37.7609242), (-122.5003882 37.7608708, -122.5003806 37.7608711, -122.5003577 37.7608852, -122.5003655 37.7608933, -122.5003703 37.7608886, -122.5003897 37.7608895, -122.5003882 37.7608708))",,,,41st Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684512,"POLYGON ((-122.5016163 37.7619669, -122.5016181 37.7619979, -122.501613 37.7619981, -122.5016143 37.7620191, -122.501603 37.7620195, -122.501604 37.7620361, -122.5015002 37.76204, -122.5014191 37.7620431, -122.501415 37.7619745, -122.5014817 37.761972, -122.5015044 37.7619711, -122.5016098 37.7619671, -122.5016163 37.7619669), (-122.501562 37.7619908, -122.5015229 37.7619923, -122.5015243 37.7620146, -122.5015634 37.7620131, -122.501562 37.7619908))",,,,42nd Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684513,"POLYGON ((-122.5009089 37.7615824, -122.5008831 37.7615833, -122.5008013 37.7615865, -122.5007979 37.761532, -122.5008328 37.7615307, -122.500832 37.7615176, -122.5009558 37.7615129, -122.5009865 37.7615117, -122.5009906 37.7615792, -122.5009089 37.7615824), (-122.5008846 37.7615385, -122.5008452 37.7615399, -122.5008464 37.7615601, -122.5008858 37.7615586, -122.5008846 37.7615385))",,,,41st Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684546,"POLYGON ((-122.5036252 37.7630576, -122.5036247 37.7630487, -122.5035822 37.7630502, -122.5035795 37.7630027, -122.5036222 37.7630011, -122.5036215 37.7629889, -122.5037675 37.7629835, -122.5037681 37.7629942, -122.5038041 37.7629929, -122.5038073 37.7630476, -122.5037984 37.7630479, -122.5037986 37.7630512, -122.5037114 37.7630544, -122.5036673 37.763056, -122.503647 37.7630568, -122.5036252 37.7630576), (-122.5037515 37.7630019, -122.503731 37.7630027, -122.5037118 37.7630101, -122.5037129 37.763028, -122.5037529 37.7630266, -122.5037515 37.7630019))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684547,"POLYGON ((-122.5036135 37.7628518, -122.5036219 37.7628515, -122.5037632 37.7628464, -122.5037638 37.762857, -122.5037854 37.7628562, -122.5037858 37.7628622, -122.5037946 37.7628619, -122.5037972 37.7629065, -122.5037883 37.7629069, -122.5037888 37.7629145, -122.5037642 37.7629154, -122.5036175 37.7629207, -122.5036135 37.7628518), (-122.5037434 37.7628636, -122.5037219 37.7628644, -122.503704 37.7628707, -122.5037051 37.7628902, -122.5037448 37.7628888, -122.5037434 37.7628636))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3684548,"POLYGON ((-122.5036175 37.7629207, -122.5037642 37.7629154, -122.5037649 37.7629265, -122.5038001 37.7629252, -122.5038034 37.7629822, -122.5037675 37.7629835, -122.5036215 37.7629889, -122.5036175 37.7629207), (-122.5037477 37.7629319, -122.5037262 37.7629326, -122.5037095 37.7629376, -122.5037106 37.7629589, -122.503749 37.7629576, -122.5037477 37.7629319))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3691616,"POLYGON ((-122.5063889 37.7624472, -122.506377 37.7624476, -122.506381 37.7625245, -122.506366 37.762525, -122.5063749 37.7626944, -122.506213 37.7626997, -122.5061977 37.7624063, -122.5062201 37.7623873, -122.5063855 37.7623819, -122.5063889 37.7624472), (-122.506347 37.7625897, -122.5063308 37.7625902, -122.5063301 37.762576, -122.5063067 37.7625768, -122.5063079 37.7626017, -122.5063475 37.7626005, -122.506347 37.7625897))",,,,,yes,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3692666,"POLYGON ((-122.5034765 37.7609178, -122.5036369 37.7609115, -122.5036377 37.7609238, -122.5036706 37.7609225, -122.5036713 37.7609335, -122.5036819 37.7609331, -122.5036843 37.760971, -122.5036738 37.7609715, -122.5036744 37.7609807, -122.5036279 37.7609825, -122.5034809 37.7609883, -122.5034765 37.7609178), (-122.5035992 37.7609356, -122.5035633 37.7609365, -122.5035423 37.7609485, -122.5035573 37.7609648, -122.5036011 37.760965, -122.5035992 37.7609356))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3692667,"POLYGON ((-122.5034724 37.7608525, -122.5036329 37.7608462, -122.5036334 37.760855, -122.503674 37.7608534, -122.5036769 37.7608988, -122.5036623 37.7608993, -122.503663 37.7609104, -122.5036369 37.7609115, -122.5034765 37.7609178, -122.5034724 37.7608525), (-122.5035947 37.7608681, -122.5035602 37.7608694, -122.5035392 37.76088, -122.5035519 37.7608978, -122.5035965 37.760896, -122.5035947 37.7608681))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3692668,"POLYGON ((-122.5034852 37.7610565, -122.5034809 37.7609883, -122.5036279 37.7609825, -122.5036286 37.7609936, -122.5036848 37.7609914, -122.5036879 37.7610401, -122.5036594 37.7610413, -122.50366 37.7610497, -122.5036309 37.7610508, -122.5034894 37.7610563, -122.5034852 37.7610565), (-122.5035995 37.7609973, -122.5035565 37.761015, -122.5035679 37.7610302, -122.5036014 37.761028, -122.5035995 37.7609973))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3692913,"POLYGON ((-122.5089767 37.7590399, -122.5089907 37.7592483, -122.5089003 37.7592521, -122.5087205 37.7592596, -122.5086286 37.7592634, -122.5086128 37.7592641, -122.5086115 37.7592448, -122.5086187 37.7592445, -122.5086179 37.7592316, -122.5086091 37.759232, -122.5086071 37.7592025, -122.5086159 37.7592021, -122.5086151 37.7591896, -122.5086072 37.75919, -122.5086056 37.7591666, -122.5086136 37.7591662, -122.5086128 37.7591551, -122.5086048 37.7591554, -122.5086032 37.7591308, -122.5086112 37.7591305, -122.5086109 37.7591255, -122.5085804 37.7591268, -122.5085799 37.7591188, -122.5085715 37.7591191, -122.5085696 37.7590909, -122.5086085 37.7590893, -122.5086078 37.7590793, -122.5085998 37.7590797, -122.5085982 37.7590558, -122.508619 37.7590549, -122.5089767 37.7590399), (-122.5088285 37.7590963, -122.5087574 37.7590994, -122.5087648 37.7592071, -122.5088359 37.7592041, -122.5088285 37.7590963))",,,,La Playa Street,yes,,multipolygon,,,,,,,,,,,,,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3692941,"POLYGON ((-122.5072072 37.7594317, -122.5071824 37.7594326, -122.5070987 37.7594358, -122.5070938 37.7593564, -122.5071243 37.7593552, -122.5071241 37.759351, -122.5072727 37.7593453, -122.5072736 37.7593609, -122.5072968 37.75936, -122.5073009 37.7594281, -122.5072072 37.7594317), (-122.5072021 37.7593647, -122.5071788 37.7593655, -122.5071796 37.7593807, -122.5072029 37.7593799, -122.5072021 37.7593647))",,,,47th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1449;1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3693693,"POLYGON ((-122.505777 37.759974, -122.5057779 37.7599861, -122.5057909 37.7599855, -122.5057912 37.7599895, -122.5057976 37.7599892, -122.5058007 37.7600309, -122.5057941 37.7600312, -122.5057944 37.7600343, -122.5057453 37.7600365, -122.505746 37.760046, -122.5057024 37.760048, -122.5056553 37.7600502, -122.5055945 37.760053, -122.5055914 37.7600106, -122.5055801 37.7600111, -122.5055781 37.7599832, -122.505623 37.7599811, -122.5057356 37.7599759, -122.505777 37.759974), (-122.5056271 37.759985, -122.5056172 37.7599855, -122.5056191 37.7600102, -122.5056289 37.7600097, -122.5056271 37.759985))",,,,46th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3693703,"POLYGON ((-122.50467 37.7592815, -122.5046722 37.7593113, -122.5046632 37.7593219, -122.5046645 37.7593391, -122.5046614 37.7593393, -122.5045754 37.7593432, -122.5045418 37.7593448, -122.5044749 37.7593478, -122.5044699 37.7592787, -122.5044863 37.7592779, -122.5046595 37.75927, -122.50467 37.7592815), (-122.5045387 37.7592834, -122.504503 37.759285, -122.5045034 37.7592907, -122.5045391 37.7592891, -122.5045387 37.7592834))",,,,45th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1462;1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3693727,"POLYGON ((-122.5035711 37.7594401, -122.5035628 37.7594405, -122.5035636 37.7594513, -122.5035599 37.7594514, -122.5035371 37.7594525, -122.5033645 37.7594609, -122.5033607 37.7594611, -122.5033554 37.7593923, -122.5034022 37.7593901, -122.5035322 37.7593838, -122.5035329 37.7593934, -122.5035575 37.7593922, -122.5035567 37.7593826, -122.5035666 37.7593821, -122.5035711 37.7594401), (-122.5034758 37.759421, -122.5034949 37.7594075, -122.503494 37.7593967, -122.5034689 37.7593979, -122.5034421 37.7594229, -122.5034546 37.7594317, -122.5034589 37.7594276, -122.5034762 37.7594267, -122.5034758 37.759421))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,3693728,"POLYGON ((-122.5035789 37.7594505, -122.5035814 37.759483, -122.5035732 37.7594834, -122.5035758 37.7595171, -122.5033696 37.759527, -122.5033687 37.7595157, -122.5033258 37.7595178, -122.5033223 37.759473, -122.5033652 37.759471, -122.5033645 37.7594609, -122.5035371 37.7594525, -122.5035377 37.7594607, -122.5035606 37.7594596, -122.5035599 37.7594514, -122.5035636 37.7594513, -122.5035789 37.7594505), (-122.5034852 37.7594894, -122.503503 37.7594762, -122.5035022 37.7594661, -122.5034775 37.7594673, -122.5034512 37.7594918, -122.5034624 37.7595007, -122.5034656 37.7594957, -122.5034856 37.7594947, -122.5034852 37.7594894))",,,,44th Avenue,yes,,multipolygon,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
