element,id,geometry,ele,gnis:feature_id,name,place,wikidata,wikimedia_commons,wikipedia,alt_name,name:zh,elevation,population,name:pronunciation,website,historic,tourism,landuse,phone,type,admin_level,boundary
node,11903199256,POINT (-122.432906 37.7830487),,,Fillmore District,neighbourhood,Q1414197,,"en:Fillmore District, San Francisco",The Fillmore,,,,,,,,,,,,
node,11903199257,POINT (-122.4709039 37.7545947),,,Golden Gate Heights,neighbourhood,,,,,,,,,,,,,,,,
node,11903199258,POINT (-122.4510402 37.784202),,,Laurel Heights,neighbourhood,Q16937192,,"en:Laurel Heights, San Francisco",,,,,,,,,,,,,
node,11903199259,POINT (-122.3991239 37.7116955),,,Little Hollywood,neighbourhood,Q55621068,,"en:Little Hollywood, San Francisco",,,,,,,,,,,,,
node,11903199260,POINT (-122.4175879 37.7837955),,,Little Saigon,neighbourhood,,,,,,,,,,,,,,,,
node,11903199261,POINT (-122.4521931 37.7511678),,,Midtown Terrace,neighbourhood,,,,,,,,,,,,,,,,
node,11903199262,POINT (-122.4480354 37.7138354),,,Outer Mission,neighbourhood,Q7111991,,"en:Outer Mission, San Francisco",,,,,,,,,,,,,
node,11903199263,POINT (-122.4408912 37.7315849),,,Sunnyside,neighbourhood,,,,,,,,,,,,,,,,
node,11903199264,POINT (-122.4639656 37.728284),,,Mount Davidson Manor,neighbourhood,,,,,,,,,,,,,,,,
node,11903199265,POINT (-122.4582279 37.7275825),,,Westwood Park,neighbourhood,Q7989906,,"en:Westwood Park, San Francisco",,,,,,,,,,,,,
node,11909029771,POINT (-122.4207753 37.7908077),,,Polk Gulch,neighbourhood,,,,,,,,,,,,,,,,
relation,10967083,"POLYGON ((-122.410275 37.7974095, -122.4088536 37.7901561, -122.404059 37.7907655, -122.4054982 37.79802, -122.410275 37.7974095))",,,Chinatown,neighbourhood,Q1073644,,,,,,34557,,,,,,,boundary,10,administrative
way,339045939,"POLYGON ((-122.4849964 37.7209963, -122.4848998 37.7209768, -122.4848705 37.7210535, -122.4847997 37.7211304, -122.4847366 37.7211982, -122.4846275 37.7212378, -122.4845287 37.7212728, -122.4844284 37.7213073, -122.4843238 37.7213046, -122.4832447 37.7212701, -122.4831497 37.7212898, -122.4830531 37.7213103, -122.482852 37.7211509, -122.4828982 37.7211145, -122.4829151 37.721074, -122.4829442 37.7205498, -122.4829376 37.7205254, -122.4829128 37.7205024, -122.4828812 37.720492, -122.4814142 37.7204574, -122.4811291 37.7204538, -122.4810576 37.7204543, -122.4810038 37.7204554, -122.4809858 37.7204685, -122.4808645 37.7205564, -122.4807965 37.7205808, -122.4798204 37.7197409, -122.4796093 37.7197167, -122.4791063 37.7200987, -122.479048 37.7201343, -122.4789878 37.7201559, -122.478911 37.7201698, -122.4788432 37.7201718, -122.4772323 37.7201281, -122.4772124 37.7201297, -122.4771928 37.7201339, -122.4771786 37.7201402, -122.4771658 37.7201496, -122.4771573 37.7201574, -122.4770267 37.7201459, -122.4770158 37.7201347, -122.4770002 37.720127, -122.4769798 37.7201242, -122.476222 37.720101, -122.4762101 37.7201015, -122.4761951 37.7201062, -122.4761842 37.7201135, -122.4761753 37.7201245, -122.4761723 37.7201342, -122.4761704 37.7201551, -122.4761422 37.7206855, -122.4761429 37.720697, -122.4761476 37.7207085, -122.4761545 37.7207165, -122.4761624 37.7207222, -122.4761825 37.7208782, -122.476029 37.7208878, -122.4759471 37.7208961, -122.4758921 37.7209048, -122.4757958 37.7209216, -122.4756985 37.720946, -122.4756105 37.7209706, -122.4755147 37.7210127, -122.4755086 37.7210257, -122.4754693 37.7210507, -122.4754702 37.7207532, -122.4754876 37.7205357, -122.4754961 37.7203428, -122.4754863 37.7202249, -122.4754514 37.7199703, -122.4754076 37.7198814, -122.4753227 37.7197539, -122.4752382 37.7196425, -122.4751255 37.7195173, -122.4747987 37.7191712, -122.4745506 37.7189086, -122.4738971 37.7182157, -122.4729436 37.7172206, -122.4728608 37.7171317, -122.4728031 37.717051, -122.4727616 37.7169503, -122.472733 37.7168132, -122.4727075 37.7167082, -122.4725202 37.7161716, -122.4722198 37.7153664, -122.4719444 37.7146299, -122.4719291 37.7145834, -122.4717732 37.7141081, -122.4717513 37.7140167, -122.4716762 37.7136676, -122.4716753 37.7135777, -122.4716923 37.7135021, -122.4717272 37.7134417, -122.4717759 37.7133878, -122.4721912 37.7130565, -122.4722609 37.7130205, -122.4723311 37.7129963, -122.4723995 37.7129984, -122.4728644 37.7131308, -122.4738393 37.7134991, -122.4742467 37.7136805, -122.4741673 37.7137825, -122.4742494 37.713828, -122.4741844 37.7139066, -122.4744286 37.7141963, -122.4743745 37.7142686, -122.4744172 37.7143261, -122.4739649 37.7149369, -122.4750474 37.7156106, -122.4751302 37.7156273, -122.4763732 37.7157167, -122.4763808 37.7157446, -122.4766361 37.7157922, -122.477418 37.7157077, -122.4776523 37.7154693, -122.4775362 37.7147389, -122.4775257 37.7146734, -122.478714 37.7146453, -122.4789566 37.714643, -122.4791699 37.7146452, -122.4806211 37.7146919, -122.4821409 37.7147406, -122.4836228 37.714783, -122.4836871 37.7147851, -122.484768 37.7148202, -122.4848194 37.7148283, -122.484873 37.7148411, -122.4849249 37.7148658, -122.484962 37.7148932, -122.484997 37.7149315, -122.4850184 37.7149713, -122.4850351 37.7150267, -122.4850386 37.7150808, -122.485034 37.7155934, -122.4850232 37.7160559, -122.485018 37.7162499, -122.4850106 37.7165278, -122.4849996 37.7169395, -122.4849951 37.7171062, -122.484979 37.7175295, -122.4849682 37.7186296, -122.4849964 37.7209963))",,,Parkmerced,neighbourhood,Q7138610,,,,,,,,https://www.parkmerced.com/,,,residential,+1 (877) 243-5544,,,
way,998479624,"POLYGON ((-122.4182422 37.78515, -122.4176413 37.7823222, -122.4169332 37.7824112, -122.4175448 37.7852306, -122.4182422 37.78515))",,,Little Saigon,neighbourhood,,,,,,,,,,,,,,,,
way,999293188,"POLYGON ((-122.43267 37.7747016, -122.4319297 37.7709616, -122.4286467 37.7713687, -122.429387 37.7751341, -122.43267 37.7747016))",,,Lower Haight,neighbourhood,Q6693515,,"en:Lower Haight, San Francisco",Haight–Fillmore,,,,,,,,,,,,
